date,name,tier,lp,score
2021-10-28,LOV3#КR1,Silver I,43,11.43
2021-10-30,LOV3#КR1,Silver I,43,11.43
2021-10-30,LOV3#КR1,Gold IV,29,12.29
2021-12-04,LOV3#КR1,Gold IV,29,12.29
2021-12-04,LOV3#КR1,Gold II,1,14.01
2021-12-10,LOV3#КR1,Gold II,1,14.01
2021-12-10,LOV3#КR1,Gold III,75,13.75
2022-01-22,LOV3#КR1,Gold III,75,13.75
2022-01-22,LOV3#КR1,Silver I,71,11.71
2023-01-03,LOV3#КR1,Silver I,71,11.71
2023-01-03,LOV3#КR1,Gold IV,1,12.01
2023-03-16,LOV3#КR1,Gold IV,1,12.01
2023-03-16,LOV3#КR1,Silver II,19,10.19
2023-09-09,LOV3#КR1,Silver II,19,10.19
2023-09-09,LOV3#КR1,Iron IV,0,0
2024-07-14,LOV3#КR1,Gold III,15,13.15
2024-08-10,LOV3#КR1,Gold III,15,13.15
2024-08-10,LOV3#КR1,Gold II,6,14.06
2024-10-01,LOV3#КR1,Gold II,6,14.06
2024-10-01,LOV3#КR1,Gold III,7,13.07
2024-10-09,LOV3#КR1,Gold III,7,13.07
2024-10-09,LOV3#КR1,Gold IV,84,12.84
2024-10-09,LOV3#КR1,Gold IV,84,12.84
2024-10-09,LOV3#КR1,Gold III,12,13.12
2024-11-14,LOV3#КR1,Gold III,12,13.12
2024-11-14,LOV3#КR1,Gold IV,78,12.78
2024-12-16,LOV3#КR1,Gold IV,78,12.78
2024-12-16,LOV3#КR1,Gold III,1,13.01
2024-12-17,LOV3#КR1,Gold III,1,13.01
2024-12-17,LOV3#КR1,Gold IV,85,12.85
2025-01-11,LOV3#КR1,Gold IV,85,12.85
2025-01-11,LOV3#КR1,Iron IV,0,0
2025-01-11,LOV3#КR1,Silver II,51,10.51
2025-01-15,LOV3#КR1,Silver II,51,10.51
2025-01-15,LOV3#КR1,Silver I,26,11.26
2025-01-16,LOV3#КR1,Silver I,26,11.26
2025-01-16,LOV3#КR1,Gold IV,26,12.26
2025-01-26,LOV3#КR1,Gold IV,26,12.26
2025-01-26,LOV3#КR1,Gold III,1,13.01
2025-01-27,LOV3#КR1,Gold III,1,13.01
2025-01-27,LOV3#КR1,Gold II,2,14.02
2025-02-01,LOV3#КR1,Gold II,2,14.02
2025-02-01,LOV3#КR1,Gold I,28,15.28
2025-02-03,LOV3#КR1,Gold I,28,15.28
2025-02-03,LOV3#КR1,Platinum IV,31,16.31
2025-02-06,LOV3#КR1,Platinum IV,31,16.31
2025-02-06,LOV3#КR1,Platinum III,34,17.34
2025-02-16,LOV3#КR1,Platinum III,34,17.34
2025-02-16,LOV3#КR1,Platinum II,10,18.1
2025-02-17,LOV3#КR1,Platinum II,10,18.1
2025-02-17,LOV3#КR1,Platinum III,86,17.86
2025-02-17,LOV3#КR1,Platinum III,86,17.86
2025-02-17,LOV3#КR1,Platinum II,18,18.18
2025-02-19,LOV3#КR1,Platinum II,18,18.18
2025-02-19,LOV3#КR1,Platinum III,97,17.97
2025-02-19,LOV3#КR1,Platinum III,97,17.97
2025-02-19,LOV3#КR1,Platinum II,24,18.24
2025-02-23,LOV3#КR1,Platinum II,24,18.24
2025-02-23,LOV3#КR1,Platinum I,17,19.17
2025-03-03,LOV3#КR1,Platinum I,17,19.17
2025-03-03,LOV3#КR1,Emerald IV,16,20.16
2025-03-15,LOV3#КR1,Emerald IV,16,20.16
2025-03-15,LOV3#КR1,Emerald III,5,21.05
2025-03-16,LOV3#КR1,Emerald III,5,21.05
2025-03-16,LOV3#КR1,Emerald IV,90,20.9
2025-03-21,LOV3#КR1,Emerald IV,90,20.9
2025-03-21,LOV3#КR1,Emerald III,16,21.16
2025-04-06,LOV3#КR1,Emerald III,16,21.16
2025-04-06,LOV3#КR1,Emerald IV,92,20.92
2025-04-06,LOV3#КR1,Emerald IV,92,20.92
2025-04-06,LOV3#КR1,Emerald III,13,21.13
2025-04-07,LOV3#КR1,Emerald III,13,21.13
2025-04-07,LOV3#КR1,Emerald IV,94,20.94
2025-04-10,LOV3#КR1,Emerald IV,94,20.94
2025-04-10,LOV3#КR1,Emerald III,17,21.17
2025-04-13,LOV3#КR1,Emerald III,17,21.17
2025-04-13,LOV3#КR1,Emerald IV,84,20.84
2025-04-13,LOV3#КR1,Emerald IV,84,20.84
2025-04-13,LOV3#КR1,Emerald III,7,21.07
2025-04-13,LOV3#КR1,Emerald III,7,21.07
2025-04-13,LOV3#КR1,Emerald IV,90,20.9
2025-04-14,LOV3#КR1,Emerald IV,90,20.9
2025-04-14,LOV3#КR1,Emerald III,10,21.1
2025-04-14,LOV3#КR1,Emerald III,10,21.1
2025-04-14,LOV3#КR1,Emerald IV,91,20.91
2025-04-19,LOV3#КR1,Emerald IV,91,20.91
2025-04-19,LOV3#КR1,Emerald III,11,21.11
2025-04-19,LOV3#КR1,Emerald III,11,21.11
2025-04-19,LOV3#КR1,Emerald IV,92,20.92
2025-04-19,LOV3#КR1,Emerald IV,92,20.92
2025-04-19,LOV3#КR1,Emerald III,13,21.13
2025-05-03,LOV3#КR1,Emerald III,13,21.13
2025-05-03,LOV3#КR1,Emerald II,13,22.13
2025-05-06,LOV3#КR1,Emerald II,13,22.13
2025-05-06,LOV3#КR1,Emerald III,83,21.83
2025-05-08,LOV3#КR1,Emerald III,83,21.83
2025-05-08,LOV3#КR1,Emerald II,6,22.06
2025-05-08,LOV3#КR1,Emerald II,6,22.06
2025-05-08,LOV3#КR1,Emerald III,88,21.88
2025-05-09,LOV3#КR1,Emerald III,88,21.88
2025-05-09,LOV3#КR1,Emerald II,10,22.1
2025-05-11,LOV3#КR1,Emerald II,10,22.1
2025-05-11,LOV3#КR1,Emerald I,1,23.01
2025-05-16,LOV3#КR1,Emerald I,1,23.01
2025-05-16,LOV3#КR1,Emerald II,91,22.91
2025-05-16,LOV3#КR1,Emerald II,91,22.91
2025-05-16,LOV3#КR1,Emerald I,13,23.13
2025-05-21,LOV3#КR1,Emerald I,13,23.13
2025-05-21,LOV3#КR1,Emerald II,95,22.95
2025-05-30,LOV3#КR1,Emerald II,95,22.95
2025-05-30,LOV3#КR1,Emerald I,19,23.19
2025-05-30,LOV3#КR1,Emerald I,19,23.19
2025-05-30,LOV3#КR1,Emerald II,82,22.82
2025-06-14,LOV3#КR1,Emerald II,82,22.82
2025-06-14,LOV3#КR1,Emerald III,80,21.8
2025-06-14,LOV3#КR1,Emerald III,80,21.8
2025-06-14,LOV3#КR1,Emerald II,1,22.01
2025-06-21,LOV3#КR1,Emerald II,1,22.01
2025-06-21,LOV3#КR1,Emerald III,94,21.94
2025-07-12,LOV3#КR1,Emerald III,94,21.94
2025-07-12,LOV3#КR1,Emerald IV,63,20.63
2025-09-05,LOV3#КR1,Emerald IV,63,20.63
2025-09-05,LOV3#КR1,Emerald III,18,21.18
2025-09-06,LOV3#КR1,Emerald III,18,21.18
2025-09-06,LOV3#КR1,Emerald IV,99,20.99
2025-09-06,LOV3#КR1,Emerald IV,99,20.99
2025-09-06,LOV3#КR1,Emerald III,43,21.43
2025-09-11,LOV3#КR1,Emerald III,43,21.43
2025-09-11,LOV3#КR1,Emerald II,1,22.01
2025-09-12,LOV3#КR1,Emerald II,1,22.01
2025-09-12,LOV3#КR1,Emerald III,84,21.84
2025-09-15,LOV3#КR1,Emerald III,84,21.84
2025-09-15,LOV3#КR1,Emerald II,12,22.12
2025-09-19,LOV3#КR1,Emerald II,12,22.12
2025-09-19,LOV3#КR1,Emerald III,85,21.85
2025-09-25,LOV3#КR1,Emerald III,85,21.85
2025-09-25,LOV3#КR1,Emerald II,34,22.34
2025-09-27,LOV3#КR1,Emerald II,34,22.34
2025-09-27,LOV3#КR1,Emerald I,22,23.22
2025-10-03,LOV3#КR1,Emerald I,22,23.22
2025-10-03,LOV3#КR1,Diamond IV,9,24.09
2025-11-19,LOV3#КR1,Diamond IV,9,24.09
2025-11-19,LOV3#КR1,Emerald I,66,23.66
2025-11-29,LOV3#КR1,Emerald I,66,23.66
2025-11-29,LOV3#КR1,Emerald II,90,22.9
2025-11-29,LOV3#КR1,Emerald II,90,22.9
2025-11-29,LOV3#КR1,Emerald I,26,23.26
2025-11-29,LOV3#КR1,Emerald I,26,23.26
2025-11-29,LOV3#КR1,Emerald II,82,22.82
2025-12-27,LOV3#КR1,Emerald II,82,22.82
2025-12-27,LOV3#КR1,Emerald I,1,23.01
2026-01-04,LOV3#КR1,Emerald I,1,23.01
2026-01-04,LOV3#КR1,Emerald II,86,22.86
2026-01-08,LOV3#КR1,Emerald II,86,22.86
2026-01-08,LOV3#КR1,Emerald II,14,22.14
