date,name,tier,lp,score
2023-10-19,T1 Zeus#jung4,Bronze III,80,5.8
2023-10-22,T1 Zeus#jung4,Bronze III,80,5.8
2023-10-22,T1 Zeus#jung4,Bronze II,15,6.15
2023-11-18,T1 Zeus#jung4,Bronze II,15,6.15
2023-11-18,T1 Zeus#jung4,Bronze I,1,7.01
2023-11-26,T1 Zeus#jung4,Bronze I,1,7.01
2023-11-26,T1 Zeus#jung4,Bronze II,75,6.75
2023-12-26,T1 Zeus#jung4,Bronze II,75,6.75
2023-12-26,T1 Zeus#jung4,Bronze III,75,5.75
2024-05-09,T1 Zeus#jung4,Bronze III,75,5.75
2024-05-09,T1 Zeus#jung4,Bronze II,81,6.81
2024-12-13,T1 Zeus#jung4,Bronze II,81,6.81
2024-12-13,T1 Zeus#jung4,Bronze IV,40,4.4
2024-12-17,T1 Zeus#jung4,Bronze IV,40,4.4
2024-12-17,T1 Zeus#jung4,Bronze III,27,5.27
2024-12-18,T1 Zeus#jung4,Bronze III,27,5.27
2024-12-18,T1 Zeus#jung4,Bronze IV,98,4.98
2024-12-25,T1 Zeus#jung4,Bronze IV,98,4.98
2024-12-25,T1 Zeus#jung4,Bronze III,8,5.08
2024-12-28,T1 Zeus#jung4,Bronze III,8,5.08
2024-12-28,T1 Zeus#jung4,Bronze II,26,6.26
2025-03-24,T1 Zeus#jung4,Bronze II,26,6.26
2025-03-24,T1 Zeus#jung4,Silver IV,40,8.4
2026-01-08,T1 Zeus#jung4,Silver IV,40,8.4
2026-01-08,T1 Zeus#jung4,Silver IV,40,8.4
