date,name,tier,lp,score
2020-04-17,가을와이번스#KR1,Iron I,0,3
2021-10-29,가을와이번스#KR1,Bronze I,77,7.77
2021-10-29,가을와이번스#KR1,Bronze I,77,7.77
2021-10-29,가을와이번스#KR1,Silver IV,1,8.01
2021-11-24,가을와이번스#KR1,Silver IV,1,8.01
2021-11-24,가을와이번스#KR1,Silver II,1,10.01
2022-01-23,가을와이번스#KR1,Silver II,1,10.01
2022-01-23,가을와이번스#KR1,Silver IV,57,8.57
2022-02-23,가을와이번스#KR1,Silver IV,57,8.57
2022-02-23,가을와이번스#KR1,Silver III,11,9.11
2022-03-09,가을와이번스#KR1,Silver III,11,9.11
2022-03-09,가을와이번스#KR1,Silver I,1,11.01
2022-03-09,가을와이번스#KR1,Silver I,1,11.01
2022-03-09,가을와이번스#KR1,Silver II,75,10.75
2022-03-13,가을와이번스#KR1,Silver II,75,10.75
2022-03-13,가을와이번스#KR1,Silver I,1,11.01
2022-03-20,가을와이번스#KR1,Silver I,1,11.01
2022-03-20,가을와이번스#KR1,Silver II,75,10.75
2022-06-01,가을와이번스#KR1,Silver II,75,10.75
2022-06-01,가을와이번스#KR1,Silver I,17,11.17
2022-07-01,가을와이번스#KR1,Silver I,17,11.17
2022-07-01,가을와이번스#KR1,Silver II,75,10.75
2022-08-14,가을와이번스#KR1,Silver II,75,10.75
2022-08-14,가을와이번스#KR1,Silver I,10,11.1
2022-12-24,가을와이번스#KR1,Silver I,10,11.1
2022-12-24,가을와이번스#KR1,Silver II,75,10.75
2023-04-29,가을와이번스#KR1,Silver II,75,10.75
2023-04-29,가을와이번스#KR1,Silver IV,8,8.08
2023-05-07,가을와이번스#KR1,Silver IV,8,8.08
2023-05-07,가을와이번스#KR1,Silver III,24,9.24
2023-06-05,가을와이번스#KR1,Silver III,24,9.24
2023-06-05,가을와이번스#KR1,Silver IV,75,8.75
2023-07-07,가을와이번스#KR1,Silver IV,75,8.75
2023-07-07,가을와이번스#KR1,Silver III,13,9.13
2023-08-25,가을와이번스#KR1,Silver III,13,9.13
2023-08-25,가을와이번스#KR1,Bronze I,74,7.74
2023-08-25,가을와이번스#KR1,Bronze I,74,7.74
2023-08-25,가을와이번스#KR1,Silver IV,1,8.01
2023-10-22,가을와이번스#KR1,Silver IV,1,8.01
2023-10-22,가을와이번스#KR1,Silver III,31,9.31
2023-11-22,가을와이번스#KR1,Silver III,31,9.31
2023-11-22,가을와이번스#KR1,Silver II,1,10.01
2023-12-12,가을와이번스#KR1,Silver II,1,10.01
2023-12-12,가을와이번스#KR1,Silver I,3,11.03
2023-12-17,가을와이번스#KR1,Silver I,3,11.03
2023-12-17,가을와이번스#KR1,Gold IV,0,12
2024-02-17,가을와이번스#KR1,Gold II,64,14.64
2024-03-31,가을와이번스#KR1,Gold II,64,14.64
2024-03-31,가을와이번스#KR1,Gold I,17,15.17
2024-04-29,가을와이번스#KR1,Gold I,17,15.17
2024-04-29,가을와이번스#KR1,Platinum IV,1,16.01
2024-10-21,가을와이번스#KR1,Platinum IV,1,16.01
2024-10-21,가을와이번스#KR1,Gold III,11,13.11
2024-11-26,가을와이번스#KR1,Gold III,11,13.11
2024-11-26,가을와이번스#KR1,Gold IV,90,12.9
2024-12-09,가을와이번스#KR1,Gold IV,90,12.9
2024-12-09,가을와이번스#KR1,Gold III,19,13.19
2024-12-20,가을와이번스#KR1,Gold III,19,13.19
2024-12-20,가을와이번스#KR1,Gold II,10,14.1
2025-01-31,가을와이번스#KR1,Gold II,10,14.1
2025-01-31,가을와이번스#KR1,Silver I,97,11.97
2025-02-01,가을와이번스#KR1,Silver I,97,11.97
2025-02-01,가을와이번스#KR1,Gold IV,23,12.23
2025-02-04,가을와이번스#KR1,Gold IV,23,12.23
2025-02-04,가을와이번스#KR1,Gold III,12,13.12
2025-02-16,가을와이번스#KR1,Gold III,12,13.12
2025-02-16,가을와이번스#KR1,Gold II,24,14.24
2025-02-19,가을와이번스#KR1,Gold II,24,14.24
2025-02-19,가을와이번스#KR1,Gold III,89,13.89
2025-02-19,가을와이번스#KR1,Gold III,89,13.89
2025-02-19,가을와이번스#KR1,Gold II,20,14.2
2025-02-26,가을와이번스#KR1,Gold II,20,14.2
2025-02-26,가을와이번스#KR1,Gold III,99,13.99
2025-02-28,가을와이번스#KR1,Gold III,99,13.99
2025-02-28,가을와이번스#KR1,Gold II,18,14.18
2025-03-03,가을와이번스#KR1,Gold II,18,14.18
2025-03-03,가을와이번스#KR1,Gold I,6,15.06
2025-04-14,가을와이번스#KR1,Gold I,6,15.06
2025-04-14,가을와이번스#KR1,Gold II,86,14.86
2025-04-19,가을와이번스#KR1,Gold II,86,14.86
2025-04-19,가을와이번스#KR1,Gold I,13,15.13
2025-05-01,가을와이번스#KR1,Gold I,13,15.13
2025-05-01,가을와이번스#KR1,Platinum IV,27,16.27
2025-09-30,가을와이번스#KR1,Platinum IV,27,16.27
2025-09-30,가을와이번스#KR1,Platinum III,35,17.35
2025-11-10,가을와이번스#KR1,Platinum III,35,17.35
2025-11-10,가을와이번스#KR1,Platinum IV,86,16.86
2026-01-08,가을와이번스#KR1,Platinum IV,86,16.86
2026-01-08,가을와이번스#KR1,Platinum IV,15,16.15
