date,name,tier,lp,score
2020-03-13,날씨가너무덥네요#KR1,Bronze IV,0,4
2020-06-13,날씨가너무덥네요#KR1,Bronze II,0,6
2021-02-24,날씨가너무덥네요#KR1,Bronze IV,0,4
2021-05-13,날씨가너무덥네요#KR1,Bronze II,1,6.01
2021-10-15,날씨가너무덥네요#KR1,Bronze II,1,6.01
2021-10-15,날씨가너무덥네요#KR1,Bronze I,22,7.22
2021-10-29,날씨가너무덥네요#KR1,Bronze I,22,7.22
2021-10-29,날씨가너무덥네요#KR1,Silver IV,0,8
2021-11-12,날씨가너무덥네요#KR1,Silver II,1,10.01
2022-01-23,날씨가너무덥네요#KR1,Silver II,1,10.01
2022-01-23,날씨가너무덥네요#KR1,Bronze II,78,6.78
2022-01-23,날씨가너무덥네요#KR1,Bronze II,78,6.78
2022-01-23,날씨가너무덥네요#KR1,Bronze I,1,7.01
2022-01-29,날씨가너무덥네요#KR1,Bronze I,1,7.01
2022-01-29,날씨가너무덥네요#KR1,Bronze II,75,6.75
2022-01-29,날씨가너무덥네요#KR1,Bronze II,75,6.75
2022-01-29,날씨가너무덥네요#KR1,Bronze I,22,7.22
2022-02-19,날씨가너무덥네요#KR1,Bronze I,22,7.22
2022-02-19,날씨가너무덥네요#KR1,Silver IV,12,8.12
2022-08-13,날씨가너무덥네요#KR1,Silver IV,12,8.12
2022-08-13,날씨가너무덥네요#KR1,Silver III,2,9.02
2022-08-26,날씨가너무덥네요#KR1,Silver III,2,9.02
2022-08-26,날씨가너무덥네요#KR1,Silver II,29,10.29
2022-09-03,날씨가너무덥네요#KR1,Silver II,29,10.29
2022-09-03,날씨가너무덥네요#KR1,Silver III,75,9.75
2022-10-08,날씨가너무덥네요#KR1,Silver III,75,9.75
2022-10-08,날씨가너무덥네요#KR1,Silver II,11,10.11
2022-10-16,날씨가너무덥네요#KR1,Silver II,11,10.11
2022-10-16,날씨가너무덥네요#KR1,Silver I,7,11.07
2022-12-10,날씨가너무덥네요#KR1,Silver I,7,11.07
2022-12-10,날씨가너무덥네요#KR1,Gold IV,1,12.01
2023-01-03,날씨가너무덥네요#KR1,Gold IV,1,12.01
2023-01-03,날씨가너무덥네요#KR1,Gold III,14,13.14
2023-01-04,날씨가너무덥네요#KR1,Gold III,14,13.14
2023-01-04,날씨가너무덥네요#KR1,Gold IV,75,12.75
2023-01-11,날씨가너무덥네요#KR1,Gold IV,75,12.75
2023-01-11,날씨가너무덥네요#KR1,Iron IV,0,0
2023-01-20,날씨가너무덥네요#KR1,Silver III,88,9.88
2023-01-21,날씨가너무덥네요#KR1,Silver III,88,9.88
2023-01-21,날씨가너무덥네요#KR1,Silver II,19,10.19
2023-01-28,날씨가너무덥네요#KR1,Silver II,19,10.19
2023-01-28,날씨가너무덥네요#KR1,Silver I,13,11.13
2023-01-30,날씨가너무덥네요#KR1,Silver I,13,11.13
2023-01-30,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-01-30,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-01-30,날씨가너무덥네요#KR1,Silver I,14,11.14
2023-01-30,날씨가너무덥네요#KR1,Silver I,14,11.14
2023-01-30,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-02-11,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-02-11,날씨가너무덥네요#KR1,Silver I,13,11.13
2023-04-29,날씨가너무덥네요#KR1,Silver I,13,11.13
2023-04-29,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-05-01,날씨가너무덥네요#KR1,Silver II,75,10.75
2023-05-01,날씨가너무덥네요#KR1,Silver I,8,11.08
2023-05-07,날씨가너무덥네요#KR1,Silver I,8,11.08
2023-05-07,날씨가너무덥네요#KR1,Gold IV,1,12.01
2023-07-10,날씨가너무덥네요#KR1,Gold IV,1,12.01
2023-07-10,날씨가너무덥네요#KR1,Gold III,2,13.02
2023-07-16,날씨가너무덥네요#KR1,Gold III,2,13.02
2023-07-16,날씨가너무덥네요#KR1,Gold IV,75,12.75
2023-07-20,날씨가너무덥네요#KR1,Gold IV,75,12.75
2023-07-20,날씨가너무덥네요#KR1,Iron IV,0,0
2023-07-20,날씨가너무덥네요#KR1,Gold III,75,13.75
2023-07-22,날씨가너무덥네요#KR1,Gold III,75,13.75
2023-07-22,날씨가너무덥네요#KR1,Gold II,6,14.06
2023-07-22,날씨가너무덥네요#KR1,Gold II,6,14.06
2023-07-22,날씨가너무덥네요#KR1,Gold III,75,13.75
2023-07-23,날씨가너무덥네요#KR1,Gold III,75,13.75
2023-07-23,날씨가너무덥네요#KR1,Gold II,6,14.06
2023-07-29,날씨가너무덥네요#KR1,Gold II,6,14.06
2023-07-29,날씨가너무덥네요#KR1,Gold I,3,15.03
2023-07-29,날씨가너무덥네요#KR1,Gold I,3,15.03
2023-07-29,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-08-02,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-08-02,날씨가너무덥네요#KR1,Gold I,6,15.06
2023-08-20,날씨가너무덥네요#KR1,Gold I,6,15.06
2023-08-20,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-08-26,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-08-26,날씨가너무덥네요#KR1,Gold I,18,15.18
2023-09-02,날씨가너무덥네요#KR1,Gold I,18,15.18
2023-09-02,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-09-23,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-09-23,날씨가너무덥네요#KR1,Gold I,7,15.07
2023-09-29,날씨가너무덥네요#KR1,Gold I,7,15.07
2023-09-29,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-09-30,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-09-30,날씨가너무덥네요#KR1,Gold I,2,15.02
2023-10-21,날씨가너무덥네요#KR1,Gold I,2,15.02
2023-10-21,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-10-22,날씨가너무덥네요#KR1,Gold II,75,14.75
2023-10-22,날씨가너무덥네요#KR1,Gold I,17,15.17
2023-11-18,날씨가너무덥네요#KR1,Gold I,17,15.17
2023-11-18,날씨가너무덥네요#KR1,Platinum IV,1,16.01
2023-12-16,날씨가너무덥네요#KR1,Platinum IV,1,16.01
2023-12-16,날씨가너무덥네요#KR1,Platinum III,23,17.23
2023-12-30,날씨가너무덥네요#KR1,Platinum III,23,17.23
2023-12-30,날씨가너무덥네요#KR1,Platinum IV,75,16.75
2024-01-03,날씨가너무덥네요#KR1,Platinum IV,75,16.75
2024-01-03,날씨가너무덥네요#KR1,Platinum III,8,17.08
2024-01-21,날씨가너무덥네요#KR1,Platinum III,8,17.08
2024-01-21,날씨가너무덥네요#KR1,Iron IV,0,0
2024-01-21,날씨가너무덥네요#KR1,Platinum III,22,17.22
2024-01-23,날씨가너무덥네요#KR1,Platinum III,22,17.22
2024-01-23,날씨가너무덥네요#KR1,Platinum IV,75,16.75
2024-02-02,날씨가너무덥네요#KR1,Platinum IV,75,16.75
2024-02-02,날씨가너무덥네요#KR1,Gold I,75,15.75
2024-02-07,날씨가너무덥네요#KR1,Gold I,75,15.75
2024-02-07,날씨가너무덥네요#KR1,Platinum IV,1,16.01
2024-02-20,날씨가너무덥네요#KR1,Platinum IV,1,16.01
2024-02-20,날씨가너무덥네요#KR1,Platinum III,5,17.05
2024-02-26,날씨가너무덥네요#KR1,Platinum III,5,17.05
2024-02-26,날씨가너무덥네요#KR1,Platinum II,10,18.1
2024-02-27,날씨가너무덥네요#KR1,Platinum II,10,18.1
2024-02-27,날씨가너무덥네요#KR1,Platinum III,75,17.75
2024-03-14,날씨가너무덥네요#KR1,Platinum III,75,17.75
2024-03-14,날씨가너무덥네요#KR1,Platinum II,11,18.11
2024-03-15,날씨가너무덥네요#KR1,Platinum II,11,18.11
2024-03-15,날씨가너무덥네요#KR1,Platinum III,75,17.75
2024-03-30,날씨가너무덥네요#KR1,Platinum III,75,17.75
2024-03-30,날씨가너무덥네요#KR1,Platinum II,5,18.05
2024-04-24,날씨가너무덥네요#KR1,Platinum II,5,18.05
2024-04-24,날씨가너무덥네요#KR1,Platinum III,50,17.5
2024-05-01,날씨가너무덥네요#KR1,Platinum III,50,17.5
2024-05-01,날씨가너무덥네요#KR1,Platinum II,4,18.04
2024-05-05,날씨가너무덥네요#KR1,Platinum II,4,18.04
2024-05-05,날씨가너무덥네요#KR1,Platinum I,18,19.18
2024-07-09,날씨가너무덥네요#KR1,Platinum I,18,19.18
2024-07-09,날씨가너무덥네요#KR1,Platinum II,44,18.44
2024-07-13,날씨가너무덥네요#KR1,Platinum II,44,18.44
2024-07-13,날씨가너무덥네요#KR1,Platinum I,25,19.25
2024-08-16,날씨가너무덥네요#KR1,Platinum I,25,19.25
2024-08-16,날씨가너무덥네요#KR1,Emerald IV,1,20.01
2024-09-20,날씨가너무덥네요#KR1,Emerald IV,1,20.01
2024-09-20,날씨가너무덥네요#KR1,Emerald III,6,21.06
2024-09-24,날씨가너무덥네요#KR1,Emerald III,6,21.06
2024-09-24,날씨가너무덥네요#KR1,Emerald II,1,22.01
2024-09-30,날씨가너무덥네요#KR1,Emerald II,1,22.01
2024-09-30,날씨가너무덥네요#KR1,Emerald IV,24,20.24
2024-12-08,날씨가너무덥네요#KR1,Emerald IV,24,20.24
2024-12-08,날씨가너무덥네요#KR1,Platinum I,75,19.75
2024-12-09,날씨가너무덥네요#KR1,Platinum I,75,19.75
2024-12-09,날씨가너무덥네요#KR1,Emerald IV,18,20.18
2024-12-17,날씨가너무덥네요#KR1,Emerald IV,18,20.18
2024-12-17,날씨가너무덥네요#KR1,Emerald III,14,21.14
2024-12-17,날씨가너무덥네요#KR1,Emerald III,14,21.14
2024-12-17,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2024-12-17,날씨가너무덥네요#KR1,Emerald IV,94,20.94
2024-12-17,날씨가너무덥네요#KR1,Emerald III,12,21.12
2024-12-17,날씨가너무덥네요#KR1,Emerald III,12,21.12
2024-12-17,날씨가너무덥네요#KR1,Emerald IV,92,20.92
2024-12-30,날씨가너무덥네요#KR1,Emerald IV,92,20.92
2024-12-30,날씨가너무덥네요#KR1,Emerald III,5,21.05
2024-12-31,날씨가너무덥네요#KR1,Emerald III,5,21.05
2024-12-31,날씨가너무덥네요#KR1,Emerald IV,86,20.86
2025-01-02,날씨가너무덥네요#KR1,Emerald IV,86,20.86
2025-01-02,날씨가너무덥네요#KR1,Platinum I,75,19.75
2025-01-05,날씨가너무덥네요#KR1,Platinum I,75,19.75
2025-01-05,날씨가너무덥네요#KR1,Platinum II,90,18.9
2025-01-05,날씨가너무덥네요#KR1,Platinum II,90,18.9
2025-01-05,날씨가너무덥네요#KR1,Platinum I,13,19.13
