date,name,tier,lp,score
2023-10-24,우리좋은말만써요#KR1,Gold III,49,13.49
2023-12-19,우리좋은말만써요#KR1,Gold III,49,13.49
2023-12-19,우리좋은말만써요#KR1,Gold IV,75,12.75
2023-12-19,우리좋은말만써요#KR1,Gold IV,75,12.75
2023-12-19,우리좋은말만써요#KR1,Gold III,1,13.01
2023-12-19,우리좋은말만써요#KR1,Gold III,1,13.01
2023-12-19,우리좋은말만써요#KR1,Gold IV,75,12.75
2023-12-21,우리좋은말만써요#KR1,Gold IV,75,12.75
2023-12-21,우리좋은말만써요#KR1,Gold III,3,13.03
2024-01-13,우리좋은말만써요#KR1,Gold III,3,13.03
2024-01-13,우리좋은말만써요#KR1,Iron IV,0,0
2024-01-24,우리좋은말만써요#KR1,Gold IV,62,12.62
2024-07-22,우리좋은말만써요#KR1,Gold IV,62,12.62
2024-07-22,우리좋은말만써요#KR1,Bronze I,32,7.32
2024-10-02,우리좋은말만써요#KR1,Bronze I,32,7.32
2024-10-02,우리좋은말만써요#KR1,Iron IV,0,0
2024-10-29,우리좋은말만써요#KR1,Bronze I,64,7.64
2024-12-07,우리좋은말만써요#KR1,Bronze I,64,7.64
2024-12-07,우리좋은말만써요#KR1,Bronze II,97,6.97
2025-01-09,우리좋은말만써요#KR1,Bronze II,97,6.97
2025-01-09,우리좋은말만써요#KR1,Bronze I,24,7.24
2025-01-10,우리좋은말만써요#KR1,Bronze I,24,7.24
2025-01-10,우리좋은말만써요#KR1,Bronze II,51,6.51
2025-02-06,우리좋은말만써요#KR1,Bronze II,51,6.51
2025-02-06,우리좋은말만써요#KR1,Bronze I,4,7.04
2025-02-06,우리좋은말만써요#KR1,Bronze I,4,7.04
2025-02-06,우리좋은말만써요#KR1,Bronze II,92,6.92
2025-02-08,우리좋은말만써요#KR1,Bronze II,92,6.92
2025-02-08,우리좋은말만써요#KR1,Bronze I,18,7.18
2025-02-09,우리좋은말만써요#KR1,Bronze I,18,7.18
2025-02-09,우리좋은말만써요#KR1,Bronze II,88,6.88
2025-02-09,우리좋은말만써요#KR1,Bronze II,88,6.88
2025-02-09,우리좋은말만써요#KR1,Bronze I,22,7.22
2025-02-09,우리좋은말만써요#KR1,Bronze I,22,7.22
2025-02-09,우리좋은말만써요#KR1,Bronze II,92,6.92
2025-03-09,우리좋은말만써요#KR1,Bronze II,92,6.92
2025-03-09,우리좋은말만써요#KR1,Bronze I,24,7.24
2025-06-03,우리좋은말만써요#KR1,Bronze I,24,7.24
2025-06-03,우리좋은말만써요#KR1,Silver IV,11,8.11
2025-10-11,우리좋은말만써요#KR1,Silver IV,11,8.11
2025-10-11,우리좋은말만써요#KR1,Silver III,5,9.05
2025-10-12,우리좋은말만써요#KR1,Silver III,5,9.05
2025-10-12,우리좋은말만써요#KR1,Silver IV,88,8.88
2025-11-29,우리좋은말만써요#KR1,Silver IV,88,8.88
2025-11-29,우리좋은말만써요#KR1,Silver III,17,9.17
2025-11-29,우리좋은말만써요#KR1,Silver III,17,9.17
2025-11-29,우리좋은말만써요#KR1,Silver IV,93,8.93
2026-01-08,우리좋은말만써요#KR1,Silver IV,93,8.93
2026-01-08,우리좋은말만써요#KR1,Silver IV,93,8.93
