date,name,tier,lp,score
2021-10-23,Shayd#V0ID,Silver III,36,9.36
2021-10-29,Shayd#V0ID,Silver I,1,11.01
2021-12-10,Shayd#V0ID,Gold II,1,14.01
2021-12-15,Shayd#V0ID,Gold III,75,13.75
2022-01-16,Shayd#V0ID,Silver III,38,9.38
2022-01-23,Shayd#V0ID,Silver I,1,11.01
2022-01-28,Shayd#V0ID,Silver II,75,10.75
2022-01-30,Shayd#V0ID,Silver I,10,11.1
2023-01-03,Shayd#V0ID,Gold IV,1,12.01
2023-01-28,Shayd#V0ID,Silver II,14,10.14
2023-02-18,Shayd#V0ID,Silver I,5,11.05
2023-03-16,Shayd#V0ID,Silver I,8,11.08
2023-07-08,Shayd#V0ID,Gold IV,1,12.01
2023-07-20,Shayd#V0ID,Gold III,75,13.75
2023-07-22,Shayd#V0ID,Gold III,75,13.75
2023-07-23,Shayd#V0ID,Gold II,6,14.06
2023-07-29,Shayd#V0ID,Gold II,75,14.75
2023-10-22,Shayd#V0ID,Gold I,26,15.26
2023-11-18,Shayd#V0ID,Platinum IV,1,16.01
2023-12-16,Shayd#V0ID,Platinum III,5,17.05
2024-01-23,Shayd#V0ID,Platinum III,15,17.15
2024-01-24,Shayd#V0ID,Platinum IV,75,16.75
2024-01-25,Shayd#V0ID,Platinum III,19,17.19
2024-01-26,Shayd#V0ID,Platinum IV,75,16.75
2024-02-02,Shayd#V0ID,Gold I,75,15.75
2024-02-07,Shayd#V0ID,Platinum IV,1,16.01
2024-02-26,Shayd#V0ID,Platinum III,21,17.21
2024-02-27,Shayd#V0ID,Platinum III,5,17.05
2024-07-09,Shayd#V0ID,Gold I,3,15.03
2024-07-12,Shayd#V0ID,Gold I,12,15.12
2024-08-10,Shayd#V0ID,Platinum IV,31,16.31
2024-09-08,Shayd#V0ID,Platinum IV,85,16.85
2024-09-13,Shayd#V0ID,Platinum III,1,17.01
2024-09-20,Shayd#V0ID,Platinum I,35,19.35
2024-10-23,Shayd#V0ID,Emerald IV,11,20.11
2024-11-14,Shayd#V0ID,Platinum I,75,19.75
2024-12-07,Shayd#V0ID,Platinum II,81,18.81
2024-12-09,Shayd#V0ID,Platinum I,19,19.19
2024-12-17,Shayd#V0ID,Emerald IV,1,20.01
2024-12-31,Shayd#V0ID,Platinum I,75,19.75
2025-01-04,Shayd#V0ID,Platinum II,84,18.84
2025-01-07,Shayd#V0ID,Platinum II,90,18.9
2025-01-10,Shayd#V0ID,Gold IV,51,12.51
2025-01-11,Shayd#V0ID,Gold III,3,13.03
2025-01-12,Shayd#V0ID,Gold IV,89,12.89
2025-01-13,Shayd#V0ID,Gold III,23,13.23
2025-01-15,Shayd#V0ID,Gold II,26,14.26
2025-01-16,Shayd#V0ID,Gold II,95,14.95
2025-01-24,Shayd#V0ID,Gold III,89,13.89
2025-01-25,Shayd#V0ID,Gold III,97,13.97
2025-01-26,Shayd#V0ID,Gold II,28,14.28
2025-01-27,Shayd#V0ID,Gold I,6,15.06
2025-01-28,Shayd#V0ID,Platinum IV,16,16.16
2025-01-30,Shayd#V0ID,Platinum III,17,17.17
2025-02-02,Shayd#V0ID,Platinum II,27,18.27
2025-02-03,Shayd#V0ID,Platinum II,88,18.88
2025-02-04,Shayd#V0ID,Platinum II,82,18.82
2025-02-06,Shayd#V0ID,Platinum I,7,19.07
2025-02-09,Shayd#V0ID,Platinum II,88,18.88
2025-02-11,Shayd#V0ID,Platinum II,92,18.92
2025-02-13,Shayd#V0ID,Platinum I,23,19.23
2025-02-17,Shayd#V0ID,Platinum I,8,19.08
2025-02-19,Shayd#V0ID,Platinum I,5,19.05
2025-02-23,Shayd#V0ID,Emerald IV,16,20.16
2025-02-24,Shayd#V0ID,Platinum I,75,19.75
2025-02-26,Shayd#V0ID,Platinum II,90,18.9
2025-03-03,Shayd#V0ID,Platinum I,2,19.02
2025-03-05,Shayd#V0ID,Platinum II,72,18.72
2025-03-06,Shayd#V0ID,Platinum I,19,19.19
2025-03-15,Shayd#V0ID,Emerald IV,6,20.06
2025-04-06,Shayd#V0ID,Platinum I,75,19.75
2025-04-13,Shayd#V0ID,Platinum II,83,18.83
2025-04-14,Shayd#V0ID,Platinum II,72,18.72
2025-05-03,Shayd#V0ID,Platinum I,17,19.17
2025-05-05,Shayd#V0ID,Platinum II,89,18.89
2025-05-06,Shayd#V0ID,Platinum II,1,18.01
2025-05-11,Shayd#V0ID,Platinum I,24,19.24
2025-06-01,Shayd#V0ID,Platinum II,83,18.83
2025-06-06,Shayd#V0ID,Platinum II,76,18.76
2025-06-14,Shayd#V0ID,Platinum III,99,17.99
2025-06-20,Shayd#V0ID,Platinum II,19,18.19
2025-06-21,Shayd#V0ID,Platinum III,86,17.86
2025-06-24,Shayd#V0ID,Platinum II,8,18.08
2025-06-25,Shayd#V0ID,Platinum III,83,17.83
2025-07-12,Shayd#V0ID,Platinum IV,81,16.81
2025-09-05,Shayd#V0ID,Platinum III,24,17.24
2025-09-07,Shayd#V0ID,Platinum II,3,18.03
2025-09-09,Shayd#V0ID,Platinum II,12,18.12
2025-09-15,Shayd#V0ID,Platinum I,22,19.22
2025-09-19,Shayd#V0ID,Platinum II,86,18.86
2025-09-21,Shayd#V0ID,Platinum II,58,18.58
2025-09-25,Shayd#V0ID,Platinum I,11,19.11
2025-09-27,Shayd#V0ID,Emerald IV,47,20.47
2025-10-01,Shayd#V0ID,Emerald III,1,21.01
2025-10-02,Shayd#V0ID,Emerald III,32,21.32
2025-10-06,Shayd#V0ID,Emerald II,19,22.19
2025-10-07,Shayd#V0ID,Emerald III,92,21.92
2025-10-08,Shayd#V0ID,Emerald II,2,22.02
2025-10-12,Shayd#V0ID,Emerald III,94,21.94
2025-10-26,Shayd#V0ID,Emerald IV,75,20.75
2025-11-21,Shayd#V0ID,Platinum I,75,19.75
2025-11-29,Shayd#V0ID,Platinum II,98,18.98
2025-12-27,Shayd#V0ID,Platinum I,21,19.21
2026-01-01,Shayd#V0ID,Emerald IV,11,20.11
2026-01-04,Shayd#V0ID,Platinum I,75,19.75
2026-01-05,Shayd#V0ID,Platinum II,84,18.84
2026-01-08,Shayd#V0ID,Platinum II,55,18.55
