date,name,tier,lp,score
2021-10-29,Synow#KR1,Silver II,1,10.01
2022-01-21,Synow#KR1,Bronze I,43,7.43
2022-01-29,Synow#KR1,Silver IV,1,8.01
2022-03-06,Synow#KR1,Silver II,1,10.01
2023-01-03,Synow#KR1,Silver I,17,11.17
2023-02-12,Synow#KR1,Silver III,68,9.68
2023-02-18,Synow#KR1,Silver I,1,11.01
2023-07-08,Synow#KR1,Gold IV,1,12.01
2023-07-12,Synow#KR1,Gold III,13,13.13
2023-07-20,Synow#KR1,Gold I,26,15.26
2023-07-29,Synow#KR1,Platinum IV,1,16.01
2024-05-02,Synow#KR1,Emerald IV,61,20.61
2024-07-14,Synow#KR1,Platinum IV,20,16.2
2024-11-22,Synow#KR1,Gold I,12,15.12
2024-12-07,Synow#KR1,Gold II,90,14.9
2024-12-09,Synow#KR1,Gold I,23,15.23
2024-12-16,Synow#KR1,Platinum IV,14,16.14
2024-12-20,Synow#KR1,Platinum IV,87,16.87
2024-12-28,Synow#KR1,Platinum III,1,17.01
2024-12-29,Synow#KR1,Platinum III,13,17.13
2024-12-31,Synow#KR1,Platinum IV,95,16.95
2025-01-13,Synow#KR1,Silver I,40,11.4
2025-01-15,Synow#KR1,Gold IV,6,12.06
2025-01-27,Synow#KR1,Gold III,25,13.25
2025-01-28,Synow#KR1,Gold III,84,13.84
2025-01-29,Synow#KR1,Gold II,26,14.26
2025-01-31,Synow#KR1,Gold II,83,14.83
2025-02-01,Synow#KR1,Gold I,11,15.11
2025-02-03,Synow#KR1,Platinum IV,14,16.14
2025-02-13,Synow#KR1,Platinum IV,95,16.95
2025-02-19,Synow#KR1,Platinum III,21,17.21
2025-02-24,Synow#KR1,Platinum IV,84,16.84
2025-03-06,Synow#KR1,Platinum III,9,17.09
2025-03-23,Synow#KR1,Platinum III,78,17.78
2025-04-05,Synow#KR1,Platinum III,88,17.88
2025-04-06,Synow#KR1,Platinum III,11,17.11
2025-04-07,Synow#KR1,Platinum IV,83,16.83
2025-04-13,Synow#KR1,Platinum IV,74,16.74
2025-04-30,Synow#KR1,Platinum III,1,17.01
2025-05-01,Synow#KR1,Platinum IV,92,16.92
2025-05-02,Synow#KR1,Platinum IV,89,16.89
2025-05-03,Synow#KR1,Platinum III,19,17.19
2025-05-04,Synow#KR1,Platinum III,83,17.83
2025-05-06,Synow#KR1,Platinum IV,80,16.8
2025-05-07,Synow#KR1,Platinum III,8,17.08
2025-05-08,Synow#KR1,Platinum IV,85,16.85
2025-05-09,Synow#KR1,Platinum III,11,17.11
2025-05-11,Synow#KR1,Platinum II,22,18.22
2025-06-01,Synow#KR1,Platinum III,77,17.77
2025-06-03,Synow#KR1,Platinum III,80,17.8
2025-06-06,Synow#KR1,Platinum III,84,17.84
2025-08-26,Synow#KR1,Platinum II,15,18.15
2025-09-06,Synow#KR1,Platinum I,28,19.28
2025-09-15,Synow#KR1,Emerald IV,31,20.31
2025-10-31,Synow#KR1,Platinum I,50,19.5
2025-11-07,Synow#KR1,Platinum I,5,19.05
2025-11-12,Synow#KR1,Emerald IV,11,20.11
2025-11-19,Synow#KR1,Platinum I,69,19.69
2026-01-01,Synow#KR1,Emerald IV,13,20.13
2026-01-08,Synow#KR1,Emerald IV,0,20
