date,name,tier,lp,score
2021-01-01,강철의주먹연우#KR1,Bronze II,0,6
2021-01-03,강철의주먹연우#KR1,Bronze I,0,7
2021-01-15,강철의주먹연우#KR1,Bronze II,0,6
2021-05-25,강철의주먹연우#KR1,Bronze I,1,7.01
2021-09-05,강철의주먹연우#KR1,Silver IV,1,8.01
2021-09-19,강철의주먹연우#KR1,Silver III,14,9.14
2021-09-20,강철의주먹연우#KR1,Silver II,9,10.09
2021-09-21,강철의주먹연우#KR1,Silver III,75,9.75
2021-09-25,강철의주먹연우#KR1,Silver II,11,10.11
2021-09-27,강철의주먹연우#KR1,Silver I,11,11.11
2021-10-10,강철의주먹연우#KR1,Gold IV,1,12.01
2022-09-12,강철의주먹연우#KR1,Bronze I,54,7.54
2022-09-18,강철의주먹연우#KR1,Silver IV,0,8
2022-11-14,강철의주먹연우#KR1,Silver III,1,9.01
2022-12-10,강철의주먹연우#KR1,Silver IV,75,8.75
2023-01-10,강철의주먹연우#KR1,Silver III,13,9.13
2023-01-21,강철의주먹연우#KR1,Bronze I,5,7.05
2023-02-18,강철의주먹연우#KR1,Silver IV,24,8.24
2023-06-03,강철의주먹연우#KR1,Silver IV,60,8.6
2023-06-06,강철의주먹연우#KR1,Silver III,18,9.18
2023-09-28,강철의주먹연우#KR1,Silver IV,63,8.63
2023-10-20,강철의주먹연우#KR1,Silver III,2,9.02
2023-11-23,강철의주먹연우#KR1,Silver IV,75,8.75
2024-05-03,강철의주먹연우#KR1,Silver III,30,9.3
2024-07-10,강철의주먹연우#KR1,Gold IV,10,12.1
2024-11-08,강철의주먹연우#KR1,Silver III,0,9
2024-12-24,강철의주먹연우#KR1,Silver IV,87,8.87
2024-12-31,강철의주먹연우#KR1,Bronze I,75,7.75
2025-01-25,강철의주먹연우#KR1,Iron IV,76,0.76
2025-01-26,강철의주먹연우#KR1,Iron III,14,1.14
2025-01-29,강철의주먹연우#KR1,Iron II,16,2.16
2025-02-01,강철의주먹연우#KR1,Iron I,6,3.06
2025-02-21,강철의주먹연우#KR1,Iron II,94,2.94
2025-02-22,강철의주먹연우#KR1,Iron I,20,3.2
2025-05-03,강철의주먹연우#KR1,Bronze IV,14,4.14
2025-06-08,강철의주먹연우#KR1,Bronze III,27,5.27
2025-11-20,강철의주먹연우#KR1,Bronze IV,99,4.99
