date,name,tier,lp,score
2019-11-25,너가라#KR1,Bronze III,0,5
2020-05-14,너가라#KR1,Iron II,0,2
2020-06-10,너가라#KR1,Iron I,0,3
2020-06-12,너가라#KR1,Bronze IV,0,4
2020-06-27,너가라#KR1,Bronze II,0,6
2021-07-15,너가라#KR1,Bronze I,1,7.01
2021-10-16,너가라#KR1,Silver IV,29,8.29
2022-07-13,너가라#KR1,Bronze IV,37,4.37
2022-07-20,너가라#KR1,Bronze II,1,6.01
2022-11-15,너가라#KR1,Bronze I,28,7.28
2022-11-17,너가라#KR1,Silver IV,1,8.01
2022-12-19,너가라#KR1,Silver II,1,10.01
2022-12-20,너가라#KR1,Silver III,75,9.75
2023-02-28,너가라#KR1,Bronze I,81,7.81
2023-04-27,너가라#KR1,Silver IV,1,8.01
2023-07-08,너가라#KR1,Silver II,1,10.01
2023-08-16,너가라#KR1,Gold IV,14,12.14
2024-04-03,너가라#KR1,Platinum I,22,19.22
2025-07-30,너가라#KR1,Gold I,27,15.27
2025-09-07,너가라#KR1,Platinum IV,67,16.67
2025-12-23,너가라#KR1,Platinum IV,95,16.95
