date,name,tier,lp,score
2020-06-24,두유남진원#KR2,Bronze IV,0,4
2020-09-09,두유남진원#KR2,Bronze II,0,6
2021-01-21,두유남진원#KR2,Iron IV,0,0
2021-06-13,두유남진원#KR2,Bronze III,30,5.3
2021-07-03,두유남진원#KR2,Bronze II,1,6.01
2021-09-11,두유남진원#KR2,Bronze I,18,7.18
2021-09-13,두유남진원#KR2,Bronze II,75,6.75
2021-12-10,두유남진원#KR2,Bronze III,75,5.75
2022-02-05,두유남진원#KR2,Iron I,62,3.62
2023-02-10,두유남진원#KR2,Iron I,28,3.28
2023-07-20,두유남진원#KR2,Bronze IV,1,4.01
2023-12-13,두유남진원#KR2,Bronze IV,75,4.75
2024-04-29,두유남진원#KR2,Bronze III,4,5.04
2024-05-02,두유남진원#KR2,Bronze II,1,6.01
2024-05-03,두유남진원#KR2,Bronze II,9,6.09
2024-07-05,두유남진원#KR2,Bronze IV,49,4.49
2024-10-21,두유남진원#KR2,Iron II,96,2.96
2024-10-23,두유남진원#KR2,Iron I,13,3.13
2024-11-18,두유남진원#KR2,Bronze IV,29,4.29
2024-12-24,두유남진원#KR2,Bronze III,25,5.25
2025-02-28,두유남진원#KR2,Bronze IV,4,4.04
2025-04-05,두유남진원#KR2,Bronze IV,88,4.88
2025-05-25,두유남진원#KR2,Bronze III,26,5.26
2025-11-16,두유남진원#KR2,Bronze IV,84,4.84
