date,name,tier,lp,score
2017-04-02,이상호93#KR1,Silver IV,0,8
2017-11-08,이상호93#KR1,Silver III,0,9
2018-01-16,이상호93#KR1,Iron IV,0,0
2019-01-17,이상호93#KR1,Iron II,0,2
2019-01-22,이상호93#KR1,Iron I,0,3
2019-01-28,이상호93#KR1,Iron IV,0,0
2020-05-09,이상호93#KR1,Silver II,0,10
2020-06-15,이상호93#KR1,Silver I,0,11
2020-08-20,이상호93#KR1,Gold IV,0,12
2020-08-21,이상호93#KR1,Gold II,0,14
2020-08-27,이상호93#KR1,Gold I,0,15
2020-11-13,이상호93#KR1,Platinum IV,0,16
2020-11-14,이상호93#KR1,Platinum III,0,17
2020-11-16,이상호93#KR1,Platinum IV,0,16
2020-11-18,이상호93#KR1,Platinum III,0,17
2021-03-19,이상호93#KR1,Gold II,0,14
2021-03-20,이상호93#KR1,Gold I,0,15
2021-06-11,이상호93#KR1,Platinum IV,1,16.01
2021-06-19,이상호93#KR1,Platinum III,6,17.06
2021-06-22,이상호93#KR1,Platinum II,12,18.12
2021-09-18,이상호93#KR1,Platinum III,75,17.75
2022-01-07,이상호93#KR1,Platinum III,93,17.93
2022-12-25,이상호93#KR1,Gold II,10,14.1
2025-12-06,이상호93#KR1,Platinum I,2,19.02
