date,name,tier,lp,score
2019-06-04,너가라#KR1,Bronze IV,0,4
2019-11-23,너가라#KR1,Bronze III,0,5
2019-11-27,너가라#KR1,Bronze II,0,6
2019-12-04,너가라#KR1,Bronze I,0,7
2019-12-15,너가라#KR1,Silver IV,0,8
2019-12-26,너가라#KR1,Silver III,0,9
2020-01-15,너가라#KR1,Bronze IV,0,4
2020-01-16,너가라#KR1,Bronze III,0,5
2020-01-24,너가라#KR1,Bronze II,0,6
2020-01-30,너가라#KR1,Bronze I,0,7
2020-05-12,너가라#KR1,Silver IV,0,8
2020-07-02,너가라#KR1,Silver III,0,9
2020-07-09,너가라#KR1,Silver IV,0,8
2020-07-17,너가라#KR1,Silver III,0,9
2020-08-09,너가라#KR1,Silver IV,0,8
2020-08-10,너가라#KR1,Silver III,0,9
2020-08-17,너가라#KR1,Silver IV,0,8
2020-08-20,너가라#KR1,Silver III,0,9
2020-09-25,너가라#KR1,Silver IV,0,8
2020-10-04,너가라#KR1,Silver III,0,9
2020-10-16,너가라#KR1,Silver II,0,10
2020-10-20,너가라#KR1,Silver III,0,9
2020-10-21,너가라#KR1,Silver II,0,10
2020-11-03,너가라#KR1,Silver I,0,11
2020-11-07,너가라#KR1,Silver II,0,10
2020-12-15,너가라#KR1,Silver I,0,11
2020-12-18,너가라#KR1,Gold IV,0,12
2021-01-16,너가라#KR1,Silver III,0,9
2021-02-02,너가라#KR1,Silver II,0,10
2021-02-06,너가라#KR1,Silver III,0,9
2021-02-09,너가라#KR1,Silver II,0,10
2021-02-12,너가라#KR1,Silver II,0,10
2021-02-19,너가라#KR1,Silver III,0,9
2021-03-12,너가라#KR1,Silver II,0,10
2021-05-02,너가라#KR1,Silver I,9,11.09
2021-05-03,너가라#KR1,Silver II,75,10.75
2021-05-13,너가라#KR1,Silver I,10,11.1
2021-07-02,너가라#KR1,Silver II,75,10.75
2021-11-01,너가라#KR1,Silver I,15,11.15
2021-11-27,너가라#KR1,Silver II,75,10.75
2022-07-27,너가라#KR1,Silver IV,1,8.01
2022-09-01,너가라#KR1,Silver II,1,10.01
2022-09-09,너가라#KR1,Silver III,75,9.75
2022-10-19,너가라#KR1,Silver II,4,10.04
2022-10-23,너가라#KR1,Silver III,75,9.75
2022-11-14,너가라#KR1,Silver II,3,10.03
2022-12-30,너가라#KR1,Silver I,5,11.05
2023-04-02,너가라#KR1,Silver III,18,9.18
2023-05-02,너가라#KR1,Silver I,1,11.01
2023-05-10,너가라#KR1,Gold IV,1,12.01
2023-05-26,너가라#KR1,Gold III,4,13.04
2023-06-21,너가라#KR1,Gold II,6,14.06
2023-07-01,너가라#KR1,Gold III,75,13.75
2023-07-25,너가라#KR1,Gold I,9,15.09
2023-07-27,너가라#KR1,Platinum IV,1,16.01
2023-07-28,너가라#KR1,Platinum III,3,17.03
2023-08-02,너가라#KR1,Platinum II,16,18.16
2023-08-13,너가라#KR1,Emerald IV,1,20.01
2023-10-01,너가라#KR1,Emerald III,1,21.01
2023-10-25,너가라#KR1,Emerald II,16,22.16
2023-11-04,너가라#KR1,Emerald II,13,22.13
2023-11-15,너가라#KR1,Emerald III,75,21.75
2023-11-17,너가라#KR1,Emerald IV,75,20.75
2023-11-21,너가라#KR1,Emerald III,1,21.01
2023-11-24,너가라#KR1,Emerald IV,75,20.75
2023-12-10,너가라#KR1,Platinum I,75,19.75
2023-12-12,너가라#KR1,Emerald IV,1,20.01
2023-12-15,너가라#KR1,Emerald III,7,21.07
2023-12-31,너가라#KR1,Emerald II,1,22.01
2024-01-06,너가라#KR1,Emerald III,75,21.75
2024-01-07,너가라#KR1,Emerald II,12,22.12
2024-04-18,너가라#KR1,Emerald III,42,21.42
2024-05-11,너가라#KR1,Emerald II,1,22.01
2024-08-14,너가라#KR1,Emerald III,13,21.13
2024-11-25,너가라#KR1,Platinum I,17,19.17
2024-11-26,너가라#KR1,Emerald IV,13,20.13
