date,name,tier,lp,score
2019-12-14,농구하는뚱스#KR1,Bronze I,0,7
2019-12-25,농구하는뚱스#KR1,Silver IV,0,8
2021-03-08,농구하는뚱스#KR1,Bronze III,0,5
2021-04-01,농구하는뚱스#KR1,Bronze I,0,7
2022-05-07,농구하는뚱스#KR1,Bronze IV,1,4.01
2022-07-27,농구하는뚱스#KR1,Bronze II,1,6.01
2024-03-17,농구하는뚱스#KR1,Bronze IV,64,4.64
2024-03-20,농구하는뚱스#KR1,Bronze IV,1,4.01
2024-03-21,농구하는뚱스#KR1,Bronze III,0,5
2024-03-22,농구하는뚱스#KR1,Bronze IV,50,4.5
2024-07-13,농구하는뚱스#KR1,Iron I,13,3.13
2024-07-16,농구하는뚱스#KR1,Iron I,21,3.21
2024-07-25,농구하는뚱스#KR1,Iron II,85,2.85
2024-07-30,농구하는뚱스#KR1,Iron I,1,3.01
