date,name,tier,lp,score
2025-01-12,춘봉박#알콜장전,Bronze II,40,6.4
2025-01-13,닥터hong#KR1,Bronze IV,35,4.35
2025-01-14,03년생일반고학생#공부하는중,Silver I,40,11.4
2025-01-14,닥터hong#KR1,Bronze II,13,6.13
2025-01-15,닥터hong#KR1,Silver IV,24,8.24
2025-01-15,춘봉박#알콜장전,Bronze I,2,7.02
2025-01-16,춘봉박#알콜장전,Silver IV,14,8.14
2025-01-17,가을와이번스#KR1,Silver IV,28,8
2025-01-17,닥터hong#KR1,Silver III,36,9.36
2025-01-22,닥터hong#KR1,Silver III,93,9.93
2025-01-24,가을와이번스#KR1,Silver III,18,9
2025-01-26,춘봉박#알콜장전,Silver III,26,9.26
2025-01-27,두유남진원#KR2,Bronze III,40,5.4
2025-01-27,춘봉박#알콜장전,Silver II,7,10.07
2025-01-30,강철의주먹연우#KR1,Bronze III,36,5.36
2025-01-30,두유남진원#KR2,Silver IV,3,8.03
2025-01-30,춘봉박#알콜장전,Silver II,92,10.92
2025-02-01,03년생일반고학생#공부하는중,Gold IV,3,12.03
2025-02-01,닥터hong#KR1,Silver II,10,10.1
2025-02-01,두유남진원#KR2,Silver III,26,9.26
2025-02-01,춘봉박#알콜장전,Silver I,24,11.24
2025-02-02,가을와이번스#KR1,Silver II,29,10
2025-02-02,강철의주먹연우#KR1,Bronze II,18,6.18
2025-02-02,두유남진원#KR2,Gold IV,21,12.21
2025-02-02,춘봉박#알콜장전,Gold IV,25,12.25
2025-02-05,닥터hong#KR1,Silver I,9,11.09
2025-02-07,Synow#KR1,Bronze I,40,7.4
2025-02-07,가을와이번스#KR1,Silver I,2,11
2025-02-07,닥터hong#KR1,Silver I,14,11.14
2025-02-11,03년생일반고학생#공부하는중,Gold III,29,13.29
2025-02-11,Synow#KR1,Silver IV,16,8.16
2025-02-11,닥터hong#KR1,Gold IV,25,12.25
2025-02-12,03년생일반고학생#공부하는중,Gold IV,91,12.91
2025-02-12,강철의주먹연우#KR1,Bronze I,19,7.19
2025-02-12,두유남진원#KR2,Gold II,17,14.17
2025-02-13,Synow#KR1,Silver III,18,9.18
2025-02-13,가을와이번스#KR1,Gold IV,9,12
2025-02-13,두유남진원#KR2,Gold I,10,15.1
2025-02-14,03년생일반고학생#공부하는중,Gold III,6,13.06
2025-02-15,강철의주먹연우#KR1,Silver IV,1,8.01
2025-02-15,두유남진원#KR2,Gold I,18,15.18
2025-02-16,강철의주먹연우#KR1,Silver III,32,9.32
2025-02-16,두유남진원#KR2,Platinum IV,3,16.03
2025-02-18,강철의주먹연우#KR1,Silver II,18,10.18
2025-02-19,03년생일반고학생#공부하는중,Gold III,87,13.87
2025-02-20,강철의주먹연우#KR1,Silver I,22,11.22
2025-02-21,03년생일반고학생#공부하는중,Gold II,25,14.25
2025-02-22,강철의주먹연우#KR1,Silver I,1,11.01
2025-02-22,춘봉박#알콜장전,Gold III,1,13.01
2025-02-23,춘봉박#알콜장전,Gold IV,79,12.79
2025-02-26,춘봉박#알콜장전,Silver I,75,11.75
2025-03-01,03년생일반고학생#공부하는중,Gold III,94,13.94
2025-03-01,Shayd#V0ID,Gold IV,0,12
2025-03-01,두유남진원#KR2,Gold I,75,15.75
2025-03-09,03년생일반고학생#공부하는중,Gold IV,80,12.8
2025-03-09,두유남진원#KR2,Gold III,84,13.84
