date,name,tier,lp,score
2020-04-17,가을와이번스#KR1,Iron I,0,3
2021-10-29,가을와이번스#KR1,Silver IV,1,8.01
2021-11-24,가을와이번스#KR1,Silver II,1,10.01
2022-01-23,가을와이번스#KR1,Silver IV,57,8.57
2022-02-23,가을와이번스#KR1,Silver III,11,9.11
2022-03-09,가을와이번스#KR1,Silver II,75,10.75
2022-03-13,가을와이번스#KR1,Silver I,1,11.01
2022-03-20,가을와이번스#KR1,Silver II,75,10.75
2022-06-01,가을와이번스#KR1,Silver I,17,11.17
2022-07-01,가을와이번스#KR1,Silver II,75,10.75
2022-08-14,가을와이번스#KR1,Silver I,10,11.1
2022-12-24,가을와이번스#KR1,Silver II,75,10.75
2023-04-29,가을와이번스#KR1,Silver IV,8,8.08
2023-05-07,가을와이번스#KR1,Silver III,24,9.24
2023-06-05,가을와이번스#KR1,Silver IV,75,8.75
2023-07-07,가을와이번스#KR1,Silver III,13,9.13
2023-08-25,가을와이번스#KR1,Silver IV,1,8.01
2023-10-22,가을와이번스#KR1,Silver III,31,9.31
2023-11-22,가을와이번스#KR1,Silver II,1,10.01
2023-12-12,가을와이번스#KR1,Silver I,3,11.03
2023-12-17,가을와이번스#KR1,Gold IV,0,12
2024-02-17,가을와이번스#KR1,Gold II,64,14.64
2024-03-31,가을와이번스#KR1,Gold I,17,15.17
2024-04-29,가을와이번스#KR1,Platinum IV,1,16.01
2024-10-21,가을와이번스#KR1,Gold III,11,13.11
2024-11-26,가을와이번스#KR1,Gold IV,90,12.9
2024-12-09,가을와이번스#KR1,Gold III,19,13.19
2024-12-20,가을와이번스#KR1,Gold II,10,14.1
2025-01-31,가을와이번스#KR1,Silver I,97,11.97
2025-02-01,가을와이번스#KR1,Gold IV,23,12.23
2025-02-04,가을와이번스#KR1,Gold III,12,13.12
2025-02-16,가을와이번스#KR1,Gold II,24,14.24
2025-02-19,가을와이번스#KR1,Gold II,20,14.2
2025-02-26,가을와이번스#KR1,Gold III,99,13.99
2025-02-28,가을와이번스#KR1,Gold II,18,14.18
2025-03-03,가을와이번스#KR1,Gold I,6,15.06
2025-04-14,가을와이번스#KR1,Gold II,86,14.86
2025-04-19,가을와이번스#KR1,Gold I,13,15.13
2025-05-01,가을와이번스#KR1,Platinum IV,27,16.27
2025-09-30,가을와이번스#KR1,Platinum III,35,17.35
2025-11-10,가을와이번스#KR1,Platinum IV,86,16.86
2026-01-08,가을와이번스#KR1,Platinum IV,15,16.15
date,name,tier,lp,score
2021-01-01,강철의주먹연우#KR1,Bronze II,0,6
2021-01-03,강철의주먹연우#KR1,Bronze I,0,7
2021-01-15,강철의주먹연우#KR1,Bronze II,0,6
2021-05-25,강철의주먹연우#KR1,Bronze I,1,7.01
2021-09-05,강철의주먹연우#KR1,Silver IV,1,8.01
2021-09-19,강철의주먹연우#KR1,Silver III,14,9.14
2021-09-20,강철의주먹연우#KR1,Silver II,9,10.09
2021-09-21,강철의주먹연우#KR1,Silver III,75,9.75
2021-09-25,강철의주먹연우#KR1,Silver II,11,10.11
2021-09-27,강철의주먹연우#KR1,Silver I,11,11.11
2021-10-10,강철의주먹연우#KR1,Gold IV,1,12.01
2022-09-12,강철의주먹연우#KR1,Bronze I,54,7.54
2022-09-18,강철의주먹연우#KR1,Silver IV,0,8
2022-11-14,강철의주먹연우#KR1,Silver III,1,9.01
2022-12-10,강철의주먹연우#KR1,Silver IV,75,8.75
2023-01-10,강철의주먹연우#KR1,Silver III,13,9.13
2023-01-21,강철의주먹연우#KR1,Bronze I,5,7.05
2023-02-18,강철의주먹연우#KR1,Silver IV,24,8.24
2023-06-03,강철의주먹연우#KR1,Silver IV,60,8.6
2023-06-06,강철의주먹연우#KR1,Silver III,18,9.18
2023-09-28,강철의주먹연우#KR1,Silver IV,63,8.63
2023-10-20,강철의주먹연우#KR1,Silver III,2,9.02
2023-11-23,강철의주먹연우#KR1,Silver IV,75,8.75
2024-05-03,강철의주먹연우#KR1,Silver III,30,9.3
2024-07-10,강철의주먹연우#KR1,Gold IV,10,12.1
2024-11-08,강철의주먹연우#KR1,Silver III,0,9
2024-12-24,강철의주먹연우#KR1,Silver IV,87,8.87
2024-12-31,강철의주먹연우#KR1,Bronze I,75,7.75
2025-01-25,강철의주먹연우#KR1,Iron IV,76,0.76
2025-01-26,강철의주먹연우#KR1,Iron III,14,1.14
2025-01-29,강철의주먹연우#KR1,Iron II,16,2.16
2025-02-01,강철의주먹연우#KR1,Iron I,6,3.06
2025-02-21,강철의주먹연우#KR1,Iron II,94,2.94
2025-02-22,강철의주먹연우#KR1,Iron I,20,3.2
2025-05-03,강철의주먹연우#KR1,Bronze IV,14,4.14
2025-06-08,강철의주먹연우#KR1,Bronze III,27,5.27
2025-11-20,강철의주먹연우#KR1,Bronze IV,99,4.99
date,name,tier,lp,score
2019-11-25,너가라#KR1,Bronze III,0,5
2020-05-14,너가라#KR1,Iron II,0,2
2020-06-10,너가라#KR1,Iron I,0,3
2020-06-12,너가라#KR1,Bronze IV,0,4
2020-06-27,너가라#KR1,Bronze II,0,6
2021-07-15,너가라#KR1,Bronze I,1,7.01
2021-10-16,너가라#KR1,Silver IV,29,8.29
2022-07-13,너가라#KR1,Bronze IV,37,4.37
2022-07-20,너가라#KR1,Bronze II,1,6.01
2022-11-15,너가라#KR1,Bronze I,28,7.28
2022-11-17,너가라#KR1,Silver IV,1,8.01
2022-12-19,너가라#KR1,Silver II,1,10.01
2022-12-20,너가라#KR1,Silver III,75,9.75
2023-02-28,너가라#KR1,Bronze I,81,7.81
2023-04-27,너가라#KR1,Silver IV,1,8.01
2023-07-08,너가라#KR1,Silver II,1,10.01
2023-08-16,너가라#KR1,Gold IV,14,12.14
